ROLL NUMBER,TEACHER,SUBJECT,FEEDBACK_TEXT,teaching,coursecontent,examination,labwork,library_facilities,extracurricular
1,Mr. Sharma,History,New books were regularly added. The teacher was very supportive and helpful.,1,0,0,0,1,0
1,Ms. Joshi,English,We had hands-on experience every week. Course material was relevant and engaging. Library was not maintained properly. Continuous assessment was beneficial.,0,1,1,1,1,0
1,Mr. Sharma,Chemistry,We had hands-on experience every week. Course material was relevant and engaging.,0,1,0,1,0,0
4,Ms. Rani,Mathematics,,0,0,1,0,1,1
5,Prof. Khan,History,We faced issues in accessing the digital library. Lab work was poorly managed.,0,0,0,1,1,0
6,Dr. Verma,Chemistry,Lab sessions helped reinforce theory. We faced issues in accessing the digital library. The teacher encouraged student interaction. Evaluation was not up to the mark.,1,0,1,1,1,0
7,Dr. Mehta,English,Lab sessions helped reinforce theory. The syllabus was well-structured. Student clubs were very active. Library was not maintained properly.,0,1,0,1,1,1
8,Prof. Khan,Computer Science,The course covered all essential topics. The teacher was very supportive and helpful. Library was not maintained properly.,1,1,0,0,1,0
9,Dr. Verma,Economics,There were lots of workshops and events.,0,0,0,0,0,1
10,Dr. Mehta,Mathematics,Good teaching methods and examples.,1,0,0,0,0,0
11,Dr. Verma,Economics,Exam patterns were predictable and easy. The syllabus was well-structured.,0,1,1,0,0,0
12,Prof. Khan,Physics,The teacher explains very clearly. Course material was relevant and engaging. New books were regularly added.,1,1,0,0,1,0
13,Mr. Iyer,Physics,Great support for extracurriculars. Course material was relevant and engaging.,0,1,0,0,0,1
14,Mrs. Das,Biology,The teacher encouraged student interaction.,1,0,0,0,0,0
15,Dr. Mehta,Computer Science,Course material was relevant and engaging. We faced issues in accessing the digital library. Lab sessions helped reinforce theory.,0,1,0,1,1,0
16,Ms. Rani,Biology,The learning resources were very helpful.,0,1,0,0,0,0
17,Ms. Joshi,Economics,Student clubs were very active. Evaluation was not up to the mark. We had hands-on experience every week. New books were regularly added.,0,0,1,1,1,1
18,Mrs. Das,Chemistry,Lab assistants were very helpful.,0,0,0,1,0,0
19,Ms. Rani,Mathematics,Labs were well-equipped and interesting.,0,0,0,1,0,0
20,Dr. Mehta,Biology,Great support for extracurriculars.,0,0,0,0,0,1
21,Mr. Iyer,History,Evaluation was not up to the mark. We had hands-on experience every week. The course covered all essential topics. Student clubs were very active.,0,1,1,1,0,1
22,Ms. Joshi,Computer Science,The teacher encouraged student interaction. Student clubs were very active. Library was not maintained properly.,1,0,0,0,1,1
23,Dr. Mehta,Mathematics,New books were regularly added. Lab work was poorly managed.,0,0,0,1,1,0
24,Mr. Iyer,Chemistry,Exam patterns were predictable and easy. We had hands-on experience every week.,0,0,1,1,0,0
25,Mr. Iyer,History,The questions in the exam were tricky. New books were regularly added. The teacher explains very clearly. The syllabus was well-structured.,1,1,1,0,1,0
26,Ms. Rani,Chemistry,Lab work was poorly managed. The learning resources were very helpful.,0,1,0,1,0,0
27,Dr. Mehta,English,Course material was relevant and engaging. The questions in the exam were tricky. Great support for extracurriculars.,0,1,1,0,0,1
28,Ms. Rani,Chemistry,Continuous assessment was beneficial. Library had enough resources.,0,0,1,0,1,0
29,Ms. Joshi,Physics,The concepts were explained in a student-friendly way. We had hands-on experience every week.,1,0,0,1,0,0
30,Mrs. Das,Computer Science,Lab work was poorly managed.,0,0,0,1,0,0
31,Prof. Khan,Physics,Lab sessions helped reinforce theory. The teacher explains very clearly. Evaluation was not up to the mark.,1,0,1,1,0,0
32,Dr. Mehta,Computer Science,Continuous assessment was beneficial. Great support for extracurriculars. The teacher was very supportive and helpful. The syllabus was well-structured.,1,1,1,0,0,1
33,Mrs. Das,Chemistry,The syllabus was well-structured. We had hands-on experience every week. The teacher encouraged student interaction.,1,1,0,1,0,0
34,Prof. Khan,Computer Science,Library was not maintained properly. We had hands-on experience every week. Evaluation was not up to the mark.,0,0,1,1,1,0
35,Mrs. Das,Physics,Lab sessions helped reinforce theory. The teacher was very supportive and helpful.,1,0,0,1,0,0
36,Ms. Rani,Computer Science,There were lots of workshops and events. Exams were fair and well-balanced.,0,0,1,0,0,1
37,Mr. Sharma,History,Lab sessions helped reinforce theory. Library had enough resources. Exams were fair and well-balanced. Student clubs were very active.,0,0,1,1,1,1
38,Prof. Khan,Chemistry,Great support for extracurriculars. Library was not maintained properly. Lab assistants were very helpful. The learning resources were very helpful.,0,1,0,1,1,1
39,Mrs. Das,Computer Science,Library was not maintained properly. Lab work was poorly managed. The syllabus was well-structured.,0,1,0,1,1,0
40,Dr. Mehta,Biology,The concepts were explained in a student-friendly way. The syllabus was well-structured.,1,1,0,0,0,0
41,Mr. Iyer,English,The teacher explains very clearly. Student clubs were very active.,1,0,0,0,0,1
42,Mr. Sharma,Economics,Lab sessions helped reinforce theory. There were lots of workshops and events. Continuous assessment was beneficial.,0,0,1,1,0,1
43,Ms. Joshi,Biology,The learning resources were very helpful. Continuous assessment was beneficial. New books were regularly added. Lab assistants were very helpful.,0,1,1,1,1,0
44,Mr. Iyer,Physics,The learning resources were very helpful.,0,1,0,0,0,0
45,Ms. Rani,Mathematics,The learning resources were very helpful.,0,1,0,0,0,0
46,Mrs. Das,Economics,New books were regularly added. Exam patterns were predictable and easy. The learning resources were very helpful. Great support for extracurriculars.,0,1,1,0,1,1
47,Mr. Sharma,Economics,The course covered all essential topics.,0,1,0,0,0,0
48,Ms. Joshi,Chemistry,Library was not maintained properly. Course material was relevant and engaging.,0,1,0,0,1,0
49,Dr. Verma,English,Course material was relevant and engaging.,0,1,0,0,0,0
50,Mr. Iyer,Chemistry,Student clubs were very active. Content was outdated. Good teaching methods and examples.,1,1,0,0,0,1
51,Mr. Sharma,Biology,Great support for extracurriculars. The teacher explains very clearly.,1,0,0,0,0,1
52,Dr. Mehta,Mathematics,New books were regularly added. Lab sessions helped reinforce theory. Content was outdated. The questions in the exam were tricky.,0,1,1,1,1,0
53,Mr. Iyer,Biology,The teacher explains very clearly. Library had enough resources. Not many extracurricular activities were encouraged.,1,0,0,0,1,1
54,Ms. Joshi,English,The questions in the exam were tricky. Not many extracurricular activities were encouraged. The learning resources were very helpful.,0,1,1,0,0,1
55,Ms. Rani,English,Library was not maintained properly. There were lots of workshops and events. We had hands-on experience every week.,0,0,0,1,1,1
56,Dr. Mehta,History,The reading space in the library is great.,0,0,0,0,1,0
57,Prof. Khan,English,The questions in the exam were tricky. The teacher encouraged student interaction. Loved the cultural and sports events.,1,0,1,0,0,1
58,Dr. Mehta,Computer Science,The teacher encouraged student interaction.,1,0,0,0,0,0
59,Dr. Verma,Computer Science,The reading space in the library is great.,0,0,0,0,1,0
60,Mr. Iyer,Economics,Exams were fair and well-balanced.,0,0,1,0,0,0
61,Prof. Khan,Computer Science,Lab work was poorly managed. The teacher was very supportive and helpful. The course covered all essential topics. Exam patterns were predictable and easy.,1,1,1,1,0,0
62,Ms. Rani,Mathematics,Course material was relevant and engaging. We faced issues in accessing the digital library. The concepts were explained in a student-friendly way. Evaluation was not up to the mark.,1,1,1,0,1,0
63,Mr. Sharma,Chemistry,Labs were well-equipped and interesting. Loved the cultural and sports events. Continuous assessment was beneficial.,0,0,1,1,0,1
64,Mr. Sharma,English,The learning resources were very helpful. Good teaching methods and examples.,1,1,0,0,0,0
65,Dr. Verma,Computer Science,The teacher encouraged student interaction. Exams were fair and well-balanced.,1,0,1,0,0,0
66,Ms. Joshi,Mathematics,Not many extracurricular activities were encouraged. Library had enough resources. The course covered all essential topics.,0,1,0,0,1,1
67,Ms. Rani,Physics,Loved the cultural and sports events. The learning resources were very helpful.,0,1,0,0,0,1
68,Mr. Sharma,Physics,The teacher encouraged student interaction. Exam patterns were predictable and easy. The reading space in the library is great. Content was outdated.,1,1,1,0,1,0
69,Prof. Khan,Chemistry,The teacher encouraged student interaction. We faced issues in accessing the digital library.,1,0,0,0,1,0
70,Mr. Iyer,English,Lab work was poorly managed. The teacher explains very clearly. Content was outdated. Exam patterns were predictable and easy.,1,1,1,1,0,0
71,Mrs. Das,Economics,Library was not maintained properly.,0,0,0,0,1,0
72,Dr. Mehta,Biology,The learning resources were very helpful. Loved the cultural and sports events. Exams were fair and well-balanced.,0,1,1,0,0,1
73,Mr. Sharma,Chemistry,Exam patterns were predictable and easy. Library had enough resources.,0,0,1,0,1,0
74,Ms. Joshi,English,The learning resources were very helpful.,0,1,0,0,0,0
75,Mr. Sharma,Computer Science,Exams were fair and well-balanced.,0,0,1,0,0,0
76,Mrs. Das,English,New books were regularly added. The concepts were explained in a student-friendly way. Great support for extracurriculars.,1,0,0,0,1,1
77,Mr. Iyer,Chemistry,Course material was relevant and engaging. Lab work was poorly managed. Good teaching methods and examples.,1,1,0,1,0,0
78,Ms. Rani,Mathematics,Exams were fair and well-balanced. The learning resources were very helpful. The concepts were explained in a student-friendly way.,1,1,1,0,0,0
79,Mrs. Das,English,Continuous assessment was beneficial. Labs were well-equipped and interesting. Content was outdated. Library had enough resources.,0,1,1,1,1,0
80,Mr. Sharma,Physics,Lab work was poorly managed.,0,0,0,1,0,0
81,Ms. Rani,Chemistry,New books were regularly added. Great support for extracurriculars. Good teaching methods and examples. The syllabus was well-structured.,1,1,0,0,1,1
82,Mrs. Das,English,The concepts were explained in a student-friendly way.,1,0,0,0,0,0
83,Ms. Rani,English,Course material was relevant and engaging. Continuous assessment was beneficial.,0,1,1,0,0,0
84,Dr. Mehta,Chemistry,The teacher encouraged student interaction. We faced issues in accessing the digital library. Lab assistants were very helpful.,1,0,0,1,1,0
85,Mr. Iyer,Economics,The syllabus was well-structured. Good teaching methods and examples. Student clubs were very active.,1,1,0,0,0,1
86,Dr. Verma,Physics,Labs were well-equipped and interesting. Loved the cultural and sports events.,0,0,0,1,0,1
87,Dr. Verma,Mathematics,The teacher was very supportive and helpful. Continuous assessment was beneficial. New books were regularly added. Loved the cultural and sports events.,1,0,1,0,1,1
88,Dr. Mehta,Mathematics,Labs were well-equipped and interesting. The concepts were explained in a student-friendly way.,1,0,0,1,0,0
89,Ms. Rani,Computer Science,Loved the cultural and sports events. Exams were fair and well-balanced.,0,0,1,0,0,1
90,Ms. Rani,History,We faced issues in accessing the digital library. Exams were fair and well-balanced. Course material was relevant and engaging.,0,1,1,0,1,0
91,Mr. Sharma,Computer Science,New books were regularly added.,0,0,0,0,1,0
92,Mr. Sharma,Chemistry,Loved the cultural and sports events. New books were regularly added. Lab assistants were very helpful. Course material was relevant and engaging.,0,1,0,1,1,1
93,Mr. Iyer,Computer Science,The questions in the exam were tricky. We faced issues in accessing the digital library.,0,0,1,0,1,0
94,Dr. Mehta,Biology,The teacher explains very clearly. We faced issues in accessing the digital library. Lab sessions helped reinforce theory.,1,0,0,1,1,0
95,Ms. Rani,Computer Science,Student clubs were very active. The course covered all essential topics. Labs were well-equipped and interesting. The questions in the exam were tricky.,0,1,1,1,0,1
96,Ms. Joshi,Mathematics,The teacher was very supportive and helpful. Loved the cultural and sports events. Labs were well-equipped and interesting.,1,0,0,1,0,1
97,Dr. Verma,Mathematics,Exams were fair and well-balanced. Course material was relevant and engaging. The teacher was very supportive and helpful.,1,1,1,0,0,0
98,Ms. Joshi,Chemistry,The course covered all essential topics. Library had enough resources. There were lots of workshops and events.,0,1,0,0,1,1
99,Ms. Joshi,Economics,The teacher explains very clearly. The reading space in the library is great. Great support for extracurriculars.,1,0,0,0,1,1
100,Ms. Joshi,Chemistry,Labs were well-equipped and interesting.,0,0,0,1,0,0
101,Prof. Khan,History,Content was outdated.,0,1,0,0,0,0
102,Mr. Sharma,Biology,The reading space in the library is great. The teacher encouraged student interaction.,1,0,0,0,1,0
103,Mrs. Das,Chemistry,Lab assistants were very helpful.,0,0,0,1,0,0
104,Ms. Rani,Computer Science,The learning resources were very helpful. The questions in the exam were tricky. Great support for extracurriculars. We faced issues in accessing the digital library.,0,1,1,0,1,1
105,Prof. Khan,Computer Science,Library was not maintained properly. Exams were fair and well-balanced. The concepts were explained in a student-friendly way.,1,0,1,0,1,0
106,Dr. Verma,Economics,The learning resources were very helpful. We had hands-on experience every week.,0,1,0,1,0,0
107,Ms. Rani,History,Labs were well-equipped and interesting. Good teaching methods and examples.,1,0,0,1,0,0
108,Mrs. Das,Economics,The teacher explains very clearly. We faced issues in accessing the digital library.,1,0,0,0,1,0
109,Mrs. Das,Chemistry,New books were regularly added. Good teaching methods and examples. We had hands-on experience every week.,1,0,0,1,1,0
110,Ms. Rani,Physics,Continuous assessment was beneficial. Lab work was poorly managed.,0,0,1,1,0,0
111,Mr. Iyer,Economics,The teacher was very supportive and helpful. Evaluation was not up to the mark.,1,0,1,0,0,0
112,Dr. Mehta,Mathematics,Good teaching methods and examples. Continuous assessment was beneficial. We had hands-on experience every week.,1,0,1,1,0,0
113,Mr. Iyer,History,Library was not maintained properly. There were lots of workshops and events. The concepts were explained in a student-friendly way. Course material was relevant and engaging.,1,1,0,0,1,1
114,Mr. Sharma,Computer Science,The teacher was very supportive and helpful.,1,0,0,0,0,0
115,Dr. Mehta,Physics,The questions in the exam were tricky.,0,0,1,0,0,0
116,Mr. Sharma,Biology,Lab work was poorly managed. The course covered all essential topics.,0,1,0,1,0,0
117,Mrs. Das,Physics,The course covered all essential topics. The teacher was very supportive and helpful. Great support for extracurriculars.,1,1,0,0,0,1
118,Ms. Joshi,English,Lab sessions helped reinforce theory. Library had enough resources.,0,0,0,1,1,0
119,Mr. Sharma,History,Exam patterns were predictable and easy. Lab sessions helped reinforce theory. Library was not maintained properly. Great support for extracurriculars.,0,0,1,1,1,1
120,Dr. Verma,Chemistry,The concepts were explained in a student-friendly way. Loved the cultural and sports events. New books were regularly added.,1,0,0,0,1,1
121,Ms. Rani,Biology,Exams were fair and well-balanced. The concepts were explained in a student-friendly way.,1,0,1,0,0,0
